city,state
"Minot, ND",North Dakota
"Williston, ND",North Dakota
"Akron, OH",Ohio
"Cleveland, OH",Ohio
"Columbus, OH",Ohio
"Dayton, OH",Ohio
"Toledo, OH",Ohio
"Lawton/Fort Sill, OK",Oklahoma
"Oklahoma City, OK",Oklahoma
"Stillwater, OK",Oklahoma
"Tulsa, OK",Oklahoma
"Bend/Redmond, OR",Oregon
"Eugene, OR",Oregon
"Medford, OR",Oregon
"Portland, OR",Oregon
"Allentown/Bethlehem/Easton, PA",Pennsylvania
"Harrisburg, PA",Pennsylvania
"Johnstown, PA",Pennsylvania
"Latrobe, PA",Pennsylvania
"Philadelphia, PA",Pennsylvania
"Pittsburgh, PA",Pennsylvania
"Scranton/Wilkes-Barre, PA",Pennsylvania
"State College, PA",Pennsylvania
"Aguadilla, PR",Puerto Rico
"Ponce, PR",Puerto Rico
"San Juan, PR",Puerto Rico
"Providence, RI",Rhode Island
"Charleston, SC",South Carolina
"Columbia, SC",South Carolina
"Greer, SC",South Carolina
"Hilton Head, SC",South Carolina
"Myrtle Beach, SC",South Carolina
"Aberdeen, SD",South Dakota
"Rapid City, SD",South Dakota
"Sioux Falls, SD",South Dakota
"Bristol/Johnson City/Kingsport, TN",Tennessee
"Chattanooga, TN",Tennessee
"Knoxville, TN",Tennessee
"Memphis, TN",Tennessee
"Nashville, TN",Tennessee
"Abilene, TX",Texas
"Amarillo, TX",Texas
"Austin, TX",Texas
"Beaumont/Port Arthur, TX",Texas
"Brownsville, TX",Texas
"College Station/Bryan, TX",Texas
"Corpus Christi, TX",Texas
"Dallas, TX",Texas
"Dallas/Fort Worth, TX",Texas
"El Paso, TX",Texas
"Harlingen/San Benito, TX",Texas
"Houston, TX",Texas
"Killeen, TX",Texas
"Laredo, TX",Texas
"Longview, TX",Texas
"Lubbock, TX",Texas
"Midland/Odessa, TX",Texas
"Mission/McAllen/Edinburg, TX",Texas
"San Angelo, TX",Texas
"San Antonio, TX",Texas
"Tyler, TX",Texas
"Victoria, TX",Texas
"Waco, TX",Texas
"Wichita Falls, TX",Texas
"Guam, TT",U.S. Pacific Trust Territories and Possessions
"Charlotte Amalie, VI",U.S. Virgin Islands
"Christiansted, VI",U.S. Virgin Islands
"Provo, UT",Utah
"Salt Lake City, UT",Utah
"St. George, UT",Utah
"Burlington, VT",Vermont
"Charlottesville, VA",Virginia
"Norfolk, VA",Virginia
"Richmond, VA",Virginia
"Roanoke, VA",Virginia
"Washington, DC",Virginia
"Bellingham, WA",Washington
"Everett, WA",Washington
"Pasco/Kennewick/Richland, WA",Washington
"Seattle, WA",Washington
"Spokane, WA",Washington
"Walla Walla, WA",Washington
"Ashland, WV",West Virginia
"Charleston/Dunbar, WV",West Virginia
"Clarksburg/Fairmont, WV",West Virginia
"Appleton, WI",Wisconsin
"Green Bay, WI",Wisconsin
"Madison, WI",Wisconsin
"Milwaukee, WI",Wisconsin
"Mosinee, WI",Wisconsin
"Casper, WY",Wyoming
"Cheyenne, WY",Wyoming
"Gillette, WY",Wyoming
"Jackson, WY",Wyoming
"Laramie, WY",Wyoming
"Riverton/Lander, WY",Wyoming
"Rock Springs, WY",Wyoming
